owner,name,dependencies,description,latestCommit,githubLink,websiteLink,reputation,activity,popularity,languages,commitCount,totalStars,recentContributors
pimlicolabs,alto,no status,"A performant, reliable, and type-safe ERC-4337 Bundler written in Typescript",2/28/2025,https://github.com/pimlicolabs/alto,https://docs.pimlico.io/reference/bundler,5,65%,10,"TypeScript, Dockerfile, Shell, Solidity, JavaScript",157,129,"mmv08, kristofgazso, nikmel2803, pavlovdog, plusminushalf, 0xmonkeyy, mouseless-eth"
webpro-nl,knip,no status,"✂️  Find unused files, dependencies and exports in your JavaScript and TypeScript projects. Knip it before you ship it!",2/28/2025,https://github.com/webpro-nl/knip,https://knip.dev,11,65%,10,"JavaScript, TypeScript, Vue, MDX, Shell",224,7608,"dbudzins, jjjjonathan, guillaumebrunerie, dbehmoaras, rebeccastevens, beaussan, ptmkenny, dakro, markgaze, krhubert, kittygiraudel, markmartirosian, bbeesley, mridgway, rakleed, tkdodo, joealden, ethanjdiamond, chc383, jjoselv, heavybeard, christianvuerings, ben-eb, vscaiceanu-1a, butlerx, joshmeads, censoreduser, davidlj95, chrztoph, nickrttn, faithfinder, mcous, jwoo0122, filipw01, tryggvigy, voxpelli, romansp, hyoban, jfmengels, johenning, geigerzaehler, thowland1, petermk85, ryanwilsonperkin, lehoczky, ysknsid25, webpro, chappelo, justb3a, nebez, duncan-thacker, jaxenormus, what1s1ove, tim-richter, lasseklovstad, rmunch, heystewart, cylewaitforit, zamiell, jmcpeak, jerone, yishuolin, taro-28, chieforz, danifoldi, junyi, kachkaev, itdhsc, sockmaster27, alexanderpodlesniyqs, tjnhxmzhmqgytuwt, aramissennyeydd"
sonarsource,sonarjs,no status,SonarSource Static Analyzer for JavaScript and TypeScript,2/28/2025,https://github.com/sonarsource/sonarjs,https://community.sonarsource.com/,6,65%,10,"Java, HTML, JavaScript, Shell, Vue",145,1087,"wohops, hedinasr, samirm-be, vdiez, zglicz, quentin-jaquier-sonarsource, pavel-mikula-sonarsource, yassin-kammoun-sonarsource, malte-skoruppa-sonarsource, saberduck, renaud-tognelli-sonarsource, ilia-kebets-sonarsource, edward-gonzales-sonarsource, ericmorand-sonarsource, jayadeep-km-sonarsource"
libp2p,js-libp2p,no status,The JavaScript Implementation of libp2p networking stack.,2/27/2025,https://github.com/libp2p/js-libp2p,https://libp2p.github.io/js-libp2p/,7,65%,10,"JavaScript, TypeScript, Dockerfile, Makefile, Go",134,2409,"sfroment, eliasoenal, michaeljcole, elazar, sahilpohare, 2color, twoeths, sgtpooki, marcus-pousette, wemeetagain, joeltg, devlux76, sumitvekariya, maschad, oott123, twiss, acul71, tabcat, dozyio, n8allan, dhuseby, p-shahi, d-roak, d70-t, achingbrain, khwahish29, crazehang"
mermaid-js,mermaid,no status,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,2/28/2025,https://github.com/mermaid-js/mermaid,https://mermaid.js.org,9,65%,10,"JavaScript, Yacc, HTML, Shell, TypeScript",111,76276,"anlai46, timac, nicolasnewman, dudeofawesome, ashishjain0512, cmmoran, jackub, aloisklink, sidharthv96, ad1992, rowanfr, huynhicode, jgreywolf, abrifq, grasbock, futzmonitor, cbugk, conradagramont, igorwessel, swirtsjw, knsv, ronid1, kamalkishor1991, yash-singh1, maxstanley, jakobskrym, ilyes-ced, welfuture"
python-pillow,pillow,no status,Python Imaging Library (Fork),2/22/2025,https://github.com/python-pillow/pillow,https://python-pillow.github.io,9,65%,10,"Python, Shell, HTML, Gnuplot, C",243,12578,"aclark4life, homm, hugovk, yay295, r-barnes, radarhere"
squidfunk,mkdocs-material,no status,Documentation that simply works,3/1/2025,https://github.com/squidfunk/mkdocs-material,https://squidfunk.github.io/mkdocs-material/,10,65%,10,"HTML, Python, Dockerfile, TypeScript, SCSS",182,22279,"godotc, ibug, ydx-2147483647, brussee, guts, nejch, bentleycook, joaopalmeiro, peterbarber, simonmarquis, johnthagen, kuanyili, facelessuser, pekkaklarck, andre601, paul2708, coliff, manselmi, nerda-codes, alina-derkach-oaza, vedranmiletic, joapuiib, ericholscher, jzazo, denelo, khammami, vorburger, sisp, bartdorlandt, lucas-c, squidfunk, mschoettle, kamilkrzyskow, maximiliankohler, stevenmaude, pawamoy, meysam81, jeremy-feng, francoiscapon, jeffwidman, myl7, ilyagr, alexvoss, yanyongyu, bubbletroubles, daviamsilva, mrsmrynk, mreddx, woter1832, bzly, hudsonm62, baseplate-admin, boegel, perpil, katharinalisalin, szg-alex-payne, jk4e, hanghuge, rrc-eto, fredzinelli, andreilgeorgescu, angxddeep, niclasheinz"
tokio-rs,tokio,no status,"A runtime for writing reliable asynchronous applications with Rust. Provides I/O, networking, scheduling, timers, ...",2/28/2025,https://github.com/tokio-rs/tokio,https://tokio.rs,8,65%,10,"Rust, RenderScript",187,28042,"eduardosm, siech0, kpreid, wngr, de-vri-es, vxzyfx, nathy-bajo, dpl0, e00e, uklotzde, oxalica, vvvviiv, florian-g2, name1e5s, zettroke, djc, zacknewman, nmathewson, joshtriplett, soerenmeier, michael88888888, sunshowers, arielb1, yotamofek, xoac, felipecsl, zaeleus, dtolnay, cmelz, mhils, udoprog, cip999, jxs, czy-29, pfreixes, surban, asomers, vrnvu, evanrittenhouse, pmcgleenon, kvcache, teor2345, hds, r3v2d0g, dav1dde, vilgotf, czzrr, fenollp, hawkw, benjaminri, fabijanc, stepancheg, kylecotton, rustin170506, jofas, wutchzone, bharath-123, avtrujillo, hexagonal-sun, eltociear, alexheretic, levkk, aschweig, kennykerr, noah-kennedy, rosscanning, darksonn, brooooooklyn, thedjinn, namse, sebastianschildt, armillus, joshka, gelbpunkt, tglane, quentinperez, tniessen, finomnis, thomasdezeeuw, balliegojr, abonander, 41leahcim, maminrayej, robjtede, sarsko, wenym1, sainad2222, nyibbang, nurmohammed840, wathenjiang, sharma-shray, rcoh, niklasf, al8n, hamirmahal, owen-ch-leung, taiki-e, kezhuw, edev, mbrobbel, tiif, mox692, RRRadicalEdward, danipopes, cratelyn, adelavegaf, tacklebox, nominolo, drink7036290, nylonicious, inventednight, madadam, roy-work, fancy2209, conradludgate, tbu-, gjason88, barafael, wyfo, aaamourao, paolobarbolini, aoikurokawa, quininer, ddystopia, donatik27, jainl28patel, stevelauc, cmleinz, eric-seppanen, vrtgs, hmaka, taliyahwebb, leopardracer, aeonsolstice, sharpened-nacho"
libp2p,go-libp2p,no status,libp2p implementation in Go,2/27/2025,https://github.com/libp2p/go-libp2p,,7,65%,10,"Go, Shell, Standard ML",119,6250,"cpeliciari, samyfodil, badgooooor, marten-seemann, guillaumemichel, lidel, ivan4th, 2color, anomalroil, hsanjuan, gammazero, zhiqiangxu, dreamacro, web3-bot, jorropo, aschmahmann, sukunrt, sstanculeanu, apenzk, vyzo, dozyio, stebalien, joshklop, lrettig, cokemine, reymom, wlynxg, marcopolo, dhuseby, fasmat, p-shahi, achingbrain, galargh, bytetigers, linchizhen, wangjingcun, cario-dev, hishope"
ethereum,sourcify,no status,Decentralized Solidity contract source code verification service,2/28/2025,https://github.com/ethereum/sourcify,https://sourcify.dev,6,65%,10,"JavaScript, Shell, Dockerfile, TypeScript, Solidity",173,772,"elvijstdl, raoulschaffranek, kharabet, pursonc, marcocastignoli, julink-eth, timothyshen, salman01zp, kuzdogan, sander-speitling, naiemk, robriks, renovate-bot, zeptin, kbak, bmastc, anilchinchawale, xiaoxianboy, musclemikiya, aikawahitagi, manuelwedler, joshuanwankwo, aodhgan, fibonacci998, pegahcarter, ianholtz, 0xguybrush, acuarica, inchori, zengbing15, hyseo492, molecula451, otaliptus, itslesther, aswanth-c, mohammadshahin, thaixuandang, frolic, zajck, hujw77, praddoskanna, mitjat, uttam-singhh, vargaelod23, fluffynorth, leenorth, praveen-kaia, savvar9991, bitrockchain, lyfsn, oxf71, freddi8e"
grandinetech,grandine,no status,High performance Ethereum consensus client,2/24/2025,https://github.com/grandinetech/grandine,,5,65%,10,"Rust, Shell, Ruby, HTML, Dockerfile",135,195,"povi, tumas, tennisbowling, artiomtr, hangleang, sauliusgrigaitis, shreyas-londhe, mjzk, weekday-grandine-io"
skyleen77,next-nprogress-bar,no status,NProgress integration on Next.js compatible with /app and /pages folders,3/1/2025,https://github.com/skyleen77/next-nprogress-bar,https://next-nprogress-bar.vercel.app,6,64%,10,"JavaScript, TypeScript, CSS, MDX, HTML",40,333,"skyleen77, teddir, magnnus, kasui92, osdiab, shootex, thenaubit, l0gicgate, snapmase, jabedzaman, gustavewpm, turbobot-temp"
preactjs,preact,no status,⚛️ Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,2/28/2025,https://github.com/preactjs/preact,https://preactjs.com,9,64%,10,"JavaScript, TypeScript",134,37189,"maxbrieiev, boshen, austaras, jovidecroock, jviide, marvinhagemeister, jubalm, donisaac, rburgst, sjoerdmulder, rock-57blocks, unvalley, hamza0867, lukewarlow, rschristian, andrewiggins, 3846masa, ziongh, jose-torres-marin, ben-brady, devlux, castrogarciajs"
coinbase,coinbase-wallet-sdk,no status,An open protocol that lets users connect their mobile wallets to your DApp,2/26/2025,https://github.com/coinbase/coinbase-wallet-sdk,https://coinbase.github.io/coinbase-wallet-sdk/,6,64%,10,"TypeScript, JavaScript, SCSS, Shell",123,1401,"gizm0duck, arjun-dureja, natereiners, alexcusack, montycheese, wcrozier12, fan-zhang-sv, xiaoxianboy, hieronymus777, bangtoven, eric-ships, talentlessguy, lukasrosario, vishnumad, spencerstock, kaifulee, tmm, cb-jake, willnewman-cb, gareys-cb, crstiv"
vuepress,ecosystem,no status,Official plugins and themes for VuePress2,2/28/2025,https://github.com/vuepress/ecosystem,https://ecosystem.vuejs.press,8,64%,4,"JavaScript, TypeScript, CSS, Vue, SCSS",139,40,"yinyicao, pengzhanbo, recoluan, meteorlxy, fuckdoctors, pprzetacznik, big-dream, piperliu, mister-hope, chua-n, sunirein, i74ifa, uouoio, typed-sigterm"
boa-dev,boa,no status,"Boa is an embeddable and experimental Javascript engine written in Rust. Currently, it has support for some of the language.",2/27/2025,https://github.com/boa-dev/boa,,7,64%,10,"Rust, JavaScript, RenderScript",146,5428,"magic-akari, linusg, ahaoboy, nicktomlin, halidodat, robot-head, shurizzle, jamesthurley, jasonwilliams, jedel1043, getong, albertleigh, raskad, nekevss, leoflalv, nikita-str, razican, zzzdong, crazyboyqcd, hansl, lockels, heygsc, it-a-me, 4yman-0"
fastify,fastify,no status,"Fast and low overhead web framework, for Node.js",3/1/2025,https://github.com/fastify/fastify,https://www.fastify.dev,9,64%,10,"JavaScript, TypeScript, Shell",164,33119,"gurgunday, liviamedeiros, chinoukaegbu, jerome1337, kriskw1999, llimllib, jscheffner, cangit, dancastillo, janmooij, aaroncadillac, kadoshita, barbieri, kibertoad, mauroaccornero, aivopaas, keithito, metcoder95, federicogualdi, eomm, tony133, itssimon, coluzziandrea, liuhanqu, bram-dc, shyam-chen, dorgelesnzi, giulianok, puskin94, karankraina, salmanm, mikesamm, dmkng, rafaelgss, smartinio, rantoledo, busybox11, sourcecodeit, climba03003, kunal097, joeytwiddle, rstagi, voxpelli, corradopetrelli, jorgevrgs, monish001, mohab-sameh, erkaperka, flower-of-the-bridges, nflaig, stojkov-z, bnzone, brianvalente, rozzilla, kalvenschraut, jsumners, tmcw, xuhdev, smith558, james-kaguru, brunomollo, domdomegg, pmarchini, samsalvatico, fdawgs, hpx7, alexandercerutti, johaven, exortek, cadienvan, riosje, tlhunter, keyservlad, giuliowaitforitdavide, uzlopak, kalpana98, 10xlacroixdrinker, mcollina, matthyk, masto, cristim67, inyourtime, paulius-valiunas, iamgiolaga, remidewitte, kristianlentino99, melroy89, aadito123, alenap93, reidn3r, fkpsc, smnblmrr, jean-michelet, jonasongg, arshcodemod, moradebianchetti81, mch-dsk, andreangelantoni, codershiba"
rust-lang,libm,no status,A port of MUSL's libm to Rust.,2/24/2025,https://github.com/rust-lang/libm,,9,64%,10,"Shell, Rust, Dockerfile, C, Julia",56,618,"heiher, manishearth, tgross35, johntitor, amanieu, jsorngard, quaternic, beetrees"
rustcrypto,formats,no status,"Cryptography-related format encoders/decoders: DER, PEM, PKCS, PKIX",2/27/2025,https://github.com/rustcrypto/formats,,9,64%,10,"Rust, Shell",99,263,"alex, tarcieri, kornelski, sivizius, link2xt, quexten, martynp, bkstein, istankovic, franziskuskiefer, mkbanchi, richterger, develangel, enri1196, ancwrd1, kkohbrok, carl-wallace, zkonge, dodomorandi, mpalmer, wafflelapkin, boxdot, fjarri, aurelienft, randombit, makavity, baloo, turbocool3r, cobward, dishmaker, wangcundashang, nemynm"
winnow-rs,winnow,no status,Making parsing a breeze,2/28/2025,https://github.com/winnow-rs/winnow,https://docs.rs/winnow,11,64%,10,Rust,62,681,epage
libp2p,rust-libp2p,no status,The Rust Implementation of the libp2p networking stack. ,2/28/2025,https://github.com/libp2p/rust-libp2p,https://libp2p.io,7,64%,10,"Rust, Shell, Dockerfile, Python, Go",153,4855,"agemanning, mxinden, p1r, rolandsherwin, badgooooor, guillaumemichel, lidel, cuishuang, sisou, ackintosh, oblique, retrohacker, zetsuboii, jxs, mishmosh, kalabukdima, hjorthjort, eligioo, sergey-melnychuk, elecbug, shiyasmohd, elijahhampton, jameshiew, joshuef, xiaoxianboy, sacha-l, nazar-pc, wiezzel, cieciaone, zvolin, mosure, arpankapoor, nathanielc, dariusc93, junekhan, onur-ozkan, slava2001, hopinheimer, dewmal, akaladarshi, rvalle, pradovic, mivik, brenodt, thomaseizinger, umgefahren, maqi, bastienfaivre, elenaf9, drhuangmht, dhuseby, pangan21, hanabi1224, b-zee, paulhauner, galargh, douganderson444, rjected, lexnv, jakubdoka, elton-cs, pricstas, edwardjes, prabhat1308, kamuik16, crstiv, leopardracer, crazeteam, needsure, largemouth, ninalua, kapenacunmin, timesince, todaymoon, taikoonwang, lfgtwo, argentpapa, stormshield-frb, nnsw3, xep-c-6yrpa, dothebesttogetthebest, wangjingcun, adventureseeker987"
kubernetes,client-go,no status,Go client for Kubernetes.,2/28/2025,https://github.com/kubernetes/client-go,,9,64%,10,Go,131,9290,"jefftree, sttts, seans3, pmalek, thajeztah, jwcesign, timofurrer, mimowo, benluddy, k8s-ci-robot, skitt, p0lyn0mial, pohly, dims, liggitt, sergeykanzhelev, bentheelder, akihirosuda, k8s-publishing-bot, tigrato, atiratree, karlkfi, dashpole, sbueringer, cpanato, jpbetz, aojea, alvaroaleman, mmorel-35, everpeace, fxierh"
vyperlang,vyper,no status,Pythonic Smart Contract Language for the EVM,3/1/2025,https://github.com/vyperlang/vyper,https://vyperlang.org,8,64%,10,"Python, Makefile, Dockerfile, Batchfile, Shell",147,4984,"cyberthirst, rafael-abuawad, electriclilies, antazoey, tserg, z80dev, rimrakhimov, pcaversaccio, benber86, philogy, eltociear, zhipengxue97, danielschiavini, hodanplodky, charles-cooper, trocher, moigematino, harkal, wellweek, sandbubbles"
uniswap,sdks,no status,prototype SDK monorepo,2/28/2025,https://github.com/uniswap/sdks,,7,63%,8,"TypeScript, Solidity, JavaScript",110,1,"codyborn, conjunctivenormalform, adjkant, ayoakala, andysmith415, zhongeric, kristiehuang, xrsv, dannydaniil, jackshort, hensha256, snreynolds, bzahory, marktoda, ewilz, dianakocsis, just-toby, alanhwu, shuhuiluo, jsy1218, mr-uniswap, robert-seitz-uniswap"
apollographql,apollo-client,no status,":rocket:  A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",2/14/2025,https://github.com/apollographql/apollo-client,https://apollographql.com/client,8,63%,10,"TypeScript, JavaScript, Shell, HTML",123,19477,"naman1608, peakematt, charpeni, supakornnetsuwan, doctorjohn, calvincestari, rishabh3112, shorgi, psamim, paly, pir1, r4ph-t, alex-kinokon, smyrick, harishkrishnan24, meschreiber, 38elements, mgmolisani, bignimbus, eddeee888, jnoordsij, langarus, javascriptbach, blenderdude, phryneas, jerelmiller, yevmoroz, urik, alessbell, henryqdineen, egorlem, lizhennessy"
panva,jose,no status,"JWA, JWS, JWE, JWT, JWK, JWKS for Node.js, Browser, Cloudflare Workers, Deno, Bun, and other Web-interoperable runtimes",3/1/2025,https://github.com/panva/jose,,11,63%,10,"JavaScript, TypeScript, Shell",76,5642,"panva, d4nt"
publint,publint,no status,Lint packaging errors,3/1/2025,https://github.com/publint/publint,https://publint.dev,11,63%,10,"JavaScript, Svelte, CSS, Shell, Vue",36,1047,"lachlancollins, btea, bluwy, zanminkian, aslemammad, benmccann, namchee, kirkeaton"
shikijs,shiki,no status,A beautiful yet powerful syntax highlighter,2/27/2025,https://github.com/shikijs/shiki,http://shiki.style/,9,63%,10,"TypeScript, JavaScript, HTML, CSS",106,11006,"gehbt, fuma-nama, sharpchen, remcohaszing, nakasyou, quentinroy, ifshizuku, slevithan, artt, ovyerus, maybeanerd, lawvs, karlhorky, nullvoxpopuli, chandlerver5, antfu, zzuu666, samypesse, skiniks, sor4chi, fwqaaq, timothycohen, thetarnav, hddhyq, ionianplayboy, yieldray, senicko, ije, ms264556, beraliv, ntnyq, o-az, atinux, lejunyang, bluwy, maurice, il-1337, yuyinws, nikolailehbrink, francisko-rezende, shahriarkh, zhiyuanzmj, olets, mister-hope, azabroflovski, iiio2, sapphi-red, hi-ogawa, only566, yoshi2no, michaelmakesgames, nwylzw, sxzz, richardgill, ap0nia, webdiscus, liting-yes, marcbouchenoire, felipetodev, alexguja, userquin, serpentarius13, covolute-release, jayden12138"
cilium,ebpf,no status,"ebpf-go is a pure-Go library to read, modify and load eBPF programs and attach them to various hooks in the Linux kernel.",2/25/2025,https://github.com/cilium/ebpf,https://ebpf-go.dev,7,63%,10,"Go, Makefile, Smarty, Awk",116,6630,"rgo3, dylandreimerink, def, brycekahle, aibor, florianl, mejedi, learnitall, patrickpichler, s41m0n, orishuss, paulcacheux, usamasaqib, lmb, brlbil, dave-tucker, ti-mo, ghostbaby, tyrone-wu, kolyshkin, gavinbunney, remram44, olsajiri, mpastyl, marcuswichelmann, mx-psi, tklauser, asphaltt, wdullaer, majorteach, looklose"
google,cel-go,no status,"Fast, portable, non-Turing complete expression evaluation with gradual typing (Go)",2/26/2025,https://github.com/google/cel-go,https://cel.dev,9,63%,10,"Go, Shell, ANTLR, Starlark, HTML",91,2443,"jnthntatum, hudlow, zeitgeist87, patrickpichler, cezar-guimaraes, bigkevmcd, testwill, matthchr, jduraniglesias, fabriziosestito, kortschak, goccy, l46kok, jcking, dbuduev, chaewonkong, tristonianjones, seirl, sreeram-venkitesh, shahedalmashni, jpbetz, aakash070"
quinn-rs,quinn,no status,Async-friendly QUIC implementation in Rust,2/26/2025,https://github.com/quinn-rs/quinn,,9,63%,10,Rust,169,4085,"dignifiedquire, mxinden, matheus23, gretchenfrage, flub, nemethf, biagiofesta, djc, jamilbk, asakuramizu, m0dex, casey, ralith, kannen, behzadnouri, wemeetagain, thynson, jean-airoldie, divagant-martian, rofferom, pixelstormer, finnbear, larseggert, stormshield-damiend, recatek, ylht, dongcarl, mstyura, abonander, conectado, gabrik, psumbera, yohachisuga, thomaseizinger, crazyscot, devsnek, aochagavia, alessandrod, ryleung-solana, tirushone, stormshield-gt, delta4chat"
kubernetes,apimachinery,no status,,3/1/2025,https://github.com/kubernetes/apimachinery,,9,63%,10,Go,117,851,"jefftree, sttts, adrianmoisey, seans3, tkashem, marosset, siyuanfoundation, benluddy, deads2k, carlory, skitt, p0lyn0mial, pohly, dims, liggitt, bentheelder, k8s-publishing-bot, jiahuif, karlkfi, dashpole, sbueringer, hiranmoychowdhury, cpanato, serathius, jpbetz, hirazawaui, tklauser, saschagrunert, mmorel-35"
quic-go,quic-go,no status,A QUIC implementation in pure Go,2/24/2025,https://github.com/quic-go/quic-go,https://quic-go.net,9,63%,10,"Go, Shell, Dockerfile",144,10447,"marten-seemann, bt90, juliens, georgemac, lroccoon, mengelbart, mchtech, rthellend, thijsvandien, weidideng, etzhangsx, markphelps, sukunrt, sudorandom, glycerine, wlynxg, marcopolo, rs, rprx"
nomicfoundation,hardhat,no status,"Hardhat is a development environment to compile, deploy, test, and debug your Ethereum software. ",2/28/2025,https://github.com/nomicfoundation/hardhat,https://hardhat.org,8,63%,10,"JavaScript, TypeScript, Solidity, Shell, Vyper",152,7171,"zoeytm, itsnickbarry, alcuadrado, christopherdedominici, schaable, ebulku, nicexe, kanej, ismaventuras, rimrakhimov, sisco0, fwx5618177, axelloupias, renansouza2, rampatra, nebasuke, fzeoli, iosh, 3commascapital, xanewok, area, invocamanman, sambacha, carlyraejepsenstan, dimitrolito, arvolear, alexanderbradshaw, fvictorio, pycub, adisakboonmark, maxservais, theethernaut, hironate, agostbiro, yankeguo, galargh, wodann, cobralin, beepidibop, pricstas, donatik27, kiriyaga-txfusion, remy9926, freiremanuel91, pucedoteth, madmaxs2, hopium21, 0xaquawolf, anonployed, suchsoon, marsonkotovi4, leopardracer, carehabit, redismongo, kilavvy, vtjl10, nnsw3, s-di-cola, youyyytrok, barajeel, 0xsimka, jwbda, dahka2321, daulox92"
status-im,nimbus-eth2,no status,Nim implementation of the Ethereum Beacon Chain,2/13/2025,https://github.com/status-im/nimbus-eth2,https://nimbus.guide,4,63%,10,"Nim, Shell, Makefile, Python, HTML",208,522,"kdeme, yakimant, narimiran, kaiserd, jhett12321, tersec, arnetheduck, fredriksvantes, futreall, etan-status, agnxsh, tomi-3-0, jangko, jakubgs, kevaundray, advaita-saha, pedromiguelmiranda, cheatfate, suchsoon, catwith1hat, careworry"
pmndrs,valtio,no status,🧙 Valtio makes proxy-state simple  for React and Vanilla,2/28/2025,https://github.com/pmndrs/valtio,https://valtio.dev,10,62%,10,"JavaScript, TypeScript, CSS",76,9395,"himself65, dbritto-dev, aretrace, kretajak, overthemike, kciter, aslemammad, totallybiased, dai-shi, magicdawn, dmaskasky, sukvvon, l-qun, leweyse, amirsa12, ferreira-tb"
unjs,unenv,no status,"🕊️ Node.js compatibility for any JavaScript runtime, including browsers and edge workers.",2/28/2025,https://github.com/unjs/unenv,,10,62%,10,"TypeScript, JavaScript, Cap'n Proto",68,553,"petebacondarwin, alan-agius4, anonrig, marvinhagemeister, gpanders, vicb, jculvey, igorminar, niksy, pi0, b3nten"
react-hook-form,react-hook-form,no status,📋 React Hooks for form state management and validation (Web + React Native),3/1/2025,https://github.com/react-hook-form/react-hook-form,https://react-hook-form.com,9,62%,10,"TypeScript, JavaScript, HTML, CSS",84,40438,"matmannion, mjr2595, moshyfawn, rasikhq, jtomaszewski, bluebill1049, newsiberian, wouterlvv, erashu212, candymask0712, marcalexiei, simonjturner, pincy, suke, joshkel, peinguin, crypt0box, mfazekas, jardelcheung, sukvvon, olegdev1, alexandredev3, nakaakist, dpflasterer, vismay7, cj-young, idobouskila, developer-bandi, hasancruk, wendystraite, abnud11"
dubzzz,fast-check,no status,Property based testing framework for JavaScript (like QuickCheck) written in TypeScript,3/1/2025,https://github.com/dubzzz/fast-check,https://fast-check.dev/,9,62%,10,"TypeScript, JavaScript, Shell, CSS, MDX",101,4435,"cindywu, gruhn, jamesbvaughan, tomeraberbach, nmay231, patroza, dubzzz"
eslint,rewrite,no status,Monorepo for the new version of ESLint,3/1/2025,https://github.com/eslint/rewrite,,10,62%,10,"JavaScript, TypeScript, Shell",98,161,"aladdin-add, nzakas, amareshsm, harish-sethuraman, joshuakgoldberg, mdjermanovic, snitin315, danielrentz, syi0808, fasttime"
hypothesisworks,hypothesis,no status,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",2/28/2025,https://github.com/hypothesisworks/hypothesis,https://hypothesis.works,9,62%,10,"Shell, Python, PowerShell, Batchfile, Makefile",161,7735,"rascalking, keewis, shirte, qthequartermasterman, wangkev, zac-hd, stranger6667, jonathanplasse, jobh, drmaciver, jams2, emmanuel-ferdman, ngoldbaum, tybug"
pytest-dev,pytest,no status,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing",3/1/2025,https://github.com/pytest-dev/pytest,https://pytest.org,8,62%,10,"Python, Gherkin",171,12463,"dongfangtianyu, ammaraskar, marcelotrevisani, virendrapatil24, criemen, hpk42, 0xdec0de, tamird, okken, ronnypfannschmidt, harmin-parra, asottile, pbrezina, nicoddemus, jakkdl, ydirson, zac-hd, bluetech, pytestbot, stdedos, farbodahm, avasam, samb, stoeckmann, adamchainz, tserg, lovetheguitar, nfx, mlopez-ibanez, obestwalter, anton3, glyphack, jsoref, hotpxl, sadra-barikbin, afcmrp, shekhuverma, jellezijlstra, nauman897, mvo5, moajo, jvansanten, hawk777, cclauss, daara-s, tapetersen, pradeep90, ayjayt, jaraco, awhetter, levsa, kloczek, ngoldbaum, pradyunsg, fazeelghafoor, 15r10nk, soxofaan, mrbean-bremen, millerdev, bastimeyer, samjirovec, zhukoff-pavel, hynek, graingert, pierre-sassoulas, bbrown1867, webknjaz, le-chartreux, marcbresson, leonarduschen, bsipocz, the-compiler, holymagician03-umich, delta87, gtowers1, reaganjlee, apexdev37, poulami-sau, dheerajck, jfrost-mo, starryzhang-whu, neutraljump, joseph-sentry, anitahammer, mwychung, zachsnicker"
npm,cli,no status,the package manager for JavaScript,2/26/2025,https://github.com/npm/cli,https://docs.npmjs.com/cli/,8,62%,10,"Shell, Batchfile, JavaScript, PowerShell, Handlebars",110,8710,"avinal, hashtagchris, roni-berlin, demedos, normanperrin, coliff, h4ad, maxkoryukov, davidlj95, btea, reggi, kemitchell, trevorburnham, uiolee, full-stop, s100, emmanuel-ferdman, wraithgar, ertw, bdehamer, leobalter, sanderovich, xuhdev, owlstronaut, wheresrhys, sonsurim, oikumene, lukekarrys, drew4237, mbtools, 10xlacroixdrinker, cod1r, mikemcc399, amirsa12, milaninfy, klm-turing, santoshraj2"
chromedevtools,devtools-protocol,no status,Chrome DevTools Protocol,2/27/2025,https://github.com/chromedevtools/devtools-protocol,https://chromedevtools.github.io/devtools-protocol/,10,62%,10,"Shell, TypeScript, JavaScript",132,1197,"devtools-bot, orkon"
napi-rs,napi-rs,no status,A framework for building compiled Node.js add-ons in Rust via Node-API,2/25/2025,https://github.com/napi-rs/napi-rs,https://napi.rs,8,62%,10,"Rust, JavaScript, TypeScript, Dockerfile",127,6435,"magic-akari, frank-iii, underfin, tronical, markovalenko, lghuahua, symind, h-a-n-a, selfisekai, adjective-object, wemeetagain, cpunisher, gentle, kreijstal, ganthern, stevefan1999-personal, sigmasd, donisaac, jackyzha0, andrewtoth, brooooooklyn, xanewok, southorange0929, huakunshen, mischnic, naskya, inokawa, sapphi-red, lbarthon, hi-ogawa, zackradisic, adespawn, seritools, cathy-sjh, ozgrakkurt"
rollup,rollup,no status,Next-generation ES module bundler,3/1/2025,https://github.com/rollup/rollup,https://rollupjs.org,10,62%,10,"JavaScript, TypeScript, CSS, HTML, Rust",87,25605,"liuly0322, yoavweiss, chouchouji, darkyzhou, godliangcy, benjam, drebrez, tagattie, baseballyama, timfish, edlerd, lukastaegert, mattkubej, dasa, doubleaa93, bpscott, bluwy, trickypi, gauben, sapphi-red, sacru2red, 7086cmd, pavolloffay, simon-he95, kingma-sbw, onlywick, thirumurugan-git, re-taro, devohda, kantuni, highcastlee, yuhyeonwook, thinkasany, galactichypernova, shulaoda"
fonttools,fonttools,no status,A library to manipulate font files from Python.,2/27/2025,https://github.com/fonttools/fonttools,,8,62%,10,"Python, Makefile, Jupyter Notebook",100,4506,"behdad, simoncozens, dscorbett, drj11, hoolean, n8willis, khaledhosny, lianghai, madig, cmyr, roeln, justvanrossum, peterdekkers, rsheeter, anthrotype, mark-thm, rrawatt, allrob23"
